Gene	U	n_NFE	k_NFE	s_het_det	low_det	up_det	s_het_drift	low_drift	up_drift
ABCA5	4.32e-6	64012.4516	20	0.014438	0.01	0.023	0.012609	0.000889	0.028117
ABCA6	3.66e-6	64036.8125	28	0.00871	0.006	0.013	0.006131	0.000889	0.028117
ABCB1	3.27e-6	66599.4	9	0.026141	0.014	0.05	0.021119	0.002812	0.088914
ABCB10	1.52e-6	66505.2	4	0.03	0.011	0.076	0.022328	0.000889	0.088914
ABCB11	3.21e-6	60907.1429	15	0.01383	0.009	0.023	0.01089	0.000889	0.028117
ABCB4	3.39e-6	64566.4	9	0.026269	0.014	0.05	0.02116	0.002812	0.088914
ABCB6	2.51e-6	62788.5926	30	0.005519	0.004	0.008	0.004448	0.000889	0.028117
ABCB8	1.75e-6	65496.3077	10	0.012597	0.007	0.023	0.009359	0.000889	0.028117
ABCB9	1.3e-6	63772.2857	4	0.024922	0.009	0.063	0.017347	0.000889	0.088914
ABCC1	3.78e-6	62557	11	0.022961	0.013	0.041	0.01688	0.002812	0.088914
ABCC10	3.54e-6	65707.9429	35	0.006893	0.005	0.01	0.004743	0.000889	0.028117
ABCC4	3.45e-6	65743.1429	10	0.024352	0.013	0.045	0.0187	0.002812	0.088914
ABCC5	3.88e-6	66590.8	7	0.040242	0.019	0.083	0.044446	0.008891	0.088914
ABCC8	4.14e-6	63235.6774	27	0.010073	0.007	0.015	0.007612	0.000889	0.028117
ABCD1	1.35e-6	33537.777	0	0.216891	0.017	1.	0.185187	0.002812	1.
ABCD2	1.43e-6	66285.5	10	0.010516	0.006	0.019	0.007756	0.000889	0.028117
ABCD3	2.91e-6	66191.5	4	0.055254	0.021	0.141	0.054079	0.008891	0.281171
ABCD4	1.94e-6	64696.1176	16	0.008431	0.006	0.014	0.006252	0.000889	0.028117
ABCE1	2.17e-6	65146.871	0	0.369479	0.047	1.	0.333416	0.028117	1.
ABCF1	2.94e-6	64183.0667	19	0.010477	0.007	0.017	0.007736	0.000889	0.028117
ABCF2	2.04e-6	66692	0	0.362717	0.046	1.	0.321069	0.028117	1.
ABCF3	1.99e-6	65810.4	16	0.008782	0.006	0.015	0.006597	0.000889	0.028117
ABCG1	1.4e-6	65130.4	3	0.037613	0.012	0.108	0.029856	0.000889	0.281171
ABCG2	2.05e-6	64934.5714	58	0.002406	0.00183	0.00306	0.003727	0.000889	0.008891
ABCG4	1.29e-6	65784.4444	12	0.007829	0.005	0.014	0.006356	0.000889	0.028117
ABCG5	1.55e-6	63532	21	0.005058	0.00321	0.00755	0.004662	0.000889	0.028117
ABHD1	1.04e-6	66596.96	31	0.002443	0.00166	0.00335	0.004103	0.000889	0.028117
ABHD10	9.56e-7	65796.8571	5	0.015074	0.006	0.035	0.010606	0.000889	0.088914
ABHD11	9.51e-7	61179.75	10	0.006671	0.004	0.012	0.006116	0.000889	0.028117
ABHD12	1.42e-6	66271.75	7	0.01524	0.008	0.031	0.010231	0.000889	0.028117
ABHD13	6.33e-7	65174	1	0.064275	0.01	0.298	0.042267	0.000889	0.281171
ABHD14A	6.21e-7	65897.3333	3	0.018237	0.006	0.051	0.012315	0.000889	0.088914
ABHD14A-ACY1	1.19e-6	64028	3	0.031883	0.01	0.091	0.02362	0.000889	0.088914
ABHD14B	3.6e-7	65232.6667	6	0.005217	0.00211	0.0104	0.006432	0.000889	0.028117
ABHD15	1.05e-6	51300.4	10	0.006217	0.004	0.011	0.00559	0.000889	0.028117
ABHD16A	2.15e-6	64140.5	6	0.025868	0.012	0.056	0.020208	0.000889	0.088914
ABHD17B	7.38e-7	66211.1373	0	0.22446	0.019	1.	0.170967	0.002812	1.
ABHD17C	5.87e-7	44861.1538	0	0.171476	0.011	1.	0.125868	0.000889	1.
ABHD2	9.66e-7	66174	1	0.089534	0.014	0.411	0.072389	0.002812	0.88914
ABHD3	1.07e-6	65732.1818	11	0.007192	0.004	0.013	0.006237	0.000889	0.028117
ABHD4	1.25e-6	64519.25	7	0.013181	0.007	0.027	0.00951	0.000889	0.028117
ABHD5	1.35e-6	65534.25	8	0.01247	0.007	0.025	0.00914	0.000889	0.028117
ABHD6	7.7e-7	66431.3333	4	0.016005	0.006	0.04	0.011231	0.000889	0.088914
ABHD8	9.06e-7	63558.3902	0	0.241871	0.021	1.	0.19774	0.002812	1.
ABI1	1.42e-6	61992	3	0.036411	0.012	0.104	0.028038	0.000889	0.088914
ABI2	1.29e-6	61262	2	0.052246	0.013	0.18	0.043163	0.000889	0.281171
ABI3	7.99e-7	63555.5	1	0.075174	0.012	0.348	0.055113	0.000889	0.281171
ABI3BP	3.54e-6	57323.2222	24	0.008855	0.006	0.014	0.006178	0.000889	0.028117
ABL1	2.25e-6	65290	0	0.376387	0.049	1.	0.341605	0.028117	1.
ABL2	2.9e-6	66700.4	34	0.005929	0.005	0.009	0.004493	0.000889	0.028117
ABLIM1	2.38e-6	66273.6	4	0.045687	0.017	0.116	0.044571	0.002812	0.281171
ABLIM2	2.48e-6	64891.2	4	0.046568	0.018	0.118	0.045776	0.002812	0.281171
ABLIM3	2.62e-6	66368	11	0.017027	0.01	0.031	0.012189	0.000889	0.028117
ABR	2.26e-6	66564	1	0.171285	0.032	0.738	0.154724	0.028117	0.88914
ABRA	8.42e-7	66716.8571	4	0.01742	0.007	0.044	0.011265	0.000889	0.088914
ABRACL	2.23e-7	66724	1	0.031105	0.004	0.138	0.021673	0.000889	0.281171
ABT1	3.91e-7	66167	1	0.045572	0.007	0.21	0.030719	0.000889	0.281171
ABTB2	2.28e-6	64501.6667	3	0.058641	0.019	0.169	0.056423	0.008891	0.281171
AC004381.6	1.68e-6	66038.9231	10	0.012212	0.007	0.023	0.008973	0.000889	0.028117
AC004466.1	1.89e-7	55520.5	11	0.001499	0.00069	0.00224	0.004799	0.000889	0.028117
AC005358.1	1.55e-6	65324	1	0.127056	0.022	0.567	0.11332	0.008891	0.88914
AC005609.1	2.23e-7	62348	1	0.029763	0.004	0.132	0.021102	0.000889	0.281171
AC006435.1	3.57e-7	63992.3333	14	0.00208	0.00112	0.00318	0.004663	0.000889	0.028117
AC007040.11	4.78e-7	64427.6667	9	0.004238	0.00204	0.0075	0.005482	0.000889	0.028117
AC010336.1	6.04e-7	62988.6667	12	0.003763	0.002	0.0062	0.004961	0.000889	0.028117
AC010441.1	3.5e-7	46614.6667	1	0.03306	0.005	0.148	0.025017	0.000889	0.281171
AC011484.1	4.03e-7	66557	4	0.009127	0.004	0.022	0.008111	0.000889	0.028117
AC013449.1	1.79e-7	66648	0	0.126463	0.006	0.893	0.083396	0.000889	1.
AC022532.1	2.62e-7	66476	2	0.014744	0.004	0.047	0.012907	0.000889	0.088914
AC026703.1	9.45e-8	66433.3684	0	0.103586	0.004	0.749	0.067827	0.000889	1.
AC079210.1	2.2e-7	65019	0	0.13492	0.007	0.941	0.082809	0.000889	1.
AC093157.1	1.57e-7	49318	2	0.008531	0.002	0.025	0.010183	0.000889	0.088914
AC103809.2	2.45e-7	66302	0	0.141455	0.007	0.976	0.083271	0.000889	1.
AC110615.1	1.48e-7	66199.2857	0	0.118352	0.005	0.844	0.06779	0.000889	1.
AC114494.1	1.7e-7	66412	1	0.026112	0.003	0.113	0.021632	0.000889	0.281171
AC129492.6	4.49e-7	50327.1304	0	0.161012	0.01	1.	0.104661	0.000889	1.
ACAA1	1.17e-6	65340.2222	8	0.010873	0.006	0.021	0.008211	0.000889	0.028117
ACAA2	1.04e-6	66390.3333	7	0.011404	0.006	0.023	0.008187	0.000889	0.028117
ACACA	7.24e-6	66577	4	0.132092	0.051	0.334	0.141665	0.028117	0.281171
ACACB	6.4e-6	63505.8605	49	0.008487	0.007	0.012	0.005449	0.000889	0.028117
ACAD10	3.26e-6	66496	55	0.004073	0.00309	0.00524	0.003862	0.000889	0.008891
ACAD8	1.52e-6	64188.3636	13	0.008219	0.005	0.014	0.006364	0.000889	0.028117
ACAD9	1.67e-6	65513.4	6	0.020744	0.01	0.045	0.014336	0.000889	0.088914
ACADL	1.41e-6	65439	17	0.005908	0.004	0.01	0.005096	0.000889	0.028117
ACADM	1.33e-6	63929.4286	9	0.010604	0.006	0.02	0.00782	0.000889	0.028117
ACADS	9.71e-7	65792.8571	4	0.019588	0.007	0.049	0.013413	0.000889	0.088914
ACADSB	1.05e-6	66010	47	0.001603	0.00117	0.00206	0.003773	0.000889	0.008891
ACADVL	1.77e-6	61202.7692	3	0.04412	0.014	0.127	0.039565	0.002812	0.281171
ACAN	3.54e-6	64280.6667	1	0.232794	0.047	0.957	0.206751	0.028117	0.88914
ACAP1	2.52e-6	50556	4	0.037312	0.014	0.095	0.033664	0.002812	0.088914
ACAP2	2.81e-6	65774	1	0.199694	0.039	0.841	0.178283	0.028117	0.88914
ACAP3	2.1e-6	44139.4286	6	0.017732	0.008	0.038	0.012275	0.000889	0.088914
ACAT1	9.48e-7	64868	4	0.018917	0.007	0.047	0.01208	0.000889	0.088914
ACAT2	7.64e-7	64076	7	0.008325	0.004	0.017	0.007206	0.000889	0.028117
ACBD3	1.69e-6	66481	4	0.033136	0.013	0.084	0.027037	0.000889	0.088914
ACBD4	1.16e-6	62905	9	0.00919	0.005	0.017	0.007348	0.000889	0.028117
ACBD5	1.43e-6	66493	9	0.011784	0.006	0.022	0.008439	0.000889	0.028117
ACBD6	7.93e-7	66568.5	1	0.077415	0.012	0.358	0.05744	0.000889	0.281171
ACBD7	2.58e-7	66702	8	0.002993	0.00132	0.00524	0.005482	0.000889	0.028117
ACCS	1.16e-6	66377	6	0.0149	0.007	0.032	0.010384	0.000889	0.028117
ACCSL	1.33e-6	66352	24	0.003978	0.00259	0.00576	0.004388	0.000889	0.028117
ACD	1.44e-6	63812.1538	17	0.005885	0.004	0.01	0.005034	0.000889	0.028117
ACE	3.49e-6	61607.4118	26	0.008634	0.006	0.013	0.006053	0.000889	0.028117
ACE2	2.26e-6	47510	0	0.323822	0.037	1.	0.292178	0.028117	1.
ACER1	5.72e-7	66537	4	0.012308	0.005	0.03	0.009503	0.000889	0.028117
ACER2	7.02e-7	51386.6667	1	0.058143	0.009	0.27	0.040265	0.000889	0.281171
ACER3	1.09e-6	66241	4	0.021924	0.008	0.055	0.014859	0.000889	0.088914
ACHE	1.44e-6	54991.2603	0	0.280387	0.028	1.	0.240036	0.008891	1.
ACIN1	4.16e-6	66695.3333	3	0.105891	0.035	0.303	0.104244	0.028117	0.281171
ACKR2	4.05e-7	66703	4	0.009181	0.004	0.022	0.008118	0.000889	0.028117
ACKR3	4.23e-7	66009	0	0.175735	0.011	1.	0.117917	0.000889	1.
ACKR4	5.54e-7	61354	2	0.025155	0.006	0.085	0.018399	0.000889	0.088914
ACLY	3.25e-6	66221.75	14	0.016308	0.01	0.028	0.012702	0.000889	0.028117
ACMSD	9.95e-7	65843.6667	7	0.010863	0.005	0.022	0.008149	0.000889	0.028117
ACN9	3.11e-7	66136	0	0.155035	0.009	1.	0.100191	0.000889	1.
ACO1	2.72e-6	65988.7368	20	0.009468	0.007	0.015	0.00687	0.000889	0.028117
ACO2	1.77e-6	65687.2	2	0.073576	0.019	0.253	0.068472	0.002812	0.281171
ACOT1	6.89e-7	11486	1	0.021264	0.003	0.088	0.017074	0.000889	0.088914
ACOT11	2.05e-6	58514.8889	17	0.007584	0.005	0.012	0.005634	0.000889	0.028117
ACOT12	1.76e-6	66215.1	53	0.00232	0.00174	0.00297	0.003724	0.000889	0.008891
ACOT13	3.1e-7	65548.3333	4	0.007282	0.003	0.017	0.007492	0.000889	0.028117
ACOT2	8.44e-7	53183.3333	3	0.019782	0.006	0.056	0.012925	0.000889	0.088914
ACOT4	6.72e-7	55175.8	25	0.001727	0.0011	0.0024	0.004115	0.000889	0.028117
ACOT6	2.55e-7	66584	1	0.033957	0.005	0.153	0.02587	0.000889	0.281171
ACOT7	8.97e-7	66143	0	0.24521	0.022	1.	0.202076	0.002812	1.
ACOT8	1.11e-6	63120.25	17	0.004563	0.00274	0.00707	0.004753	0.000889	0.028117
ACOT9	1.46e-6	45903.875	14	0.005351	0.004	0.009	0.004949	0.000889	0.028117
ACOX1	1.81e-6	66732.6667	5	0.027772	0.012	0.064	0.020923	0.000889	0.088914
ACOX2	1.55e-6	66481.7333	12	0.009408	0.006	0.017	0.007342	0.000889	0.028117
ACOX3	1.92e-6	62238.3809999999	27	0.004706	0.00316	0.00671	0.00433	0.000889	0.028117
ACP1	4.77e-7	66587.2	2	0.023771	0.006	0.08	0.017038	0.000889	0.088914
ACP2	1.07e-6	55017.25	5	0.014186	0.006	0.033	0.010039	0.000889	0.028117
ACP5	6.98e-7	64322	0	0.216075	0.017	1.	0.168285	0.002812	1.
ACP6	9.9e-7	48874.2222	8	0.007142	0.004	0.014	0.006327	0.000889	0.028117
ACPL2	7.93e-7	66606	1	0.077448	0.012	0.358	0.057469	0.000889	0.281171
ACPP	1.21e-6	66325.4545	13	0.006836	0.004	0.012	0.005766	0.000889	0.028117
ACPT	1.05e-6	58176.4706	11	0.006313	0.004	0.011	0.005595	0.000889	0.028117
ACR	1.21e-6	56004.4	5	0.016145	0.007	0.037	0.010857	0.000889	0.088914
ACRBP	1.63e-6	65675.5385	9	0.013187	0.007	0.025	0.00925	0.000889	0.028117
ACRC	1.29e-6	42219.3978	0	0.235788	0.02	1.	0.200229	0.002812	1.
ACRV1	5.73e-7	66682.6667	11	0.004137	0.00215	0.00698	0.005227	0.000889	0.028117
ACSBG1	1.59e-6	65277.5	5	0.024054	0.01	0.056	0.017043	0.000889	0.088914
ACSBG2	1.65e-6	64100.2857	6	0.020088	0.009	0.043	0.014003	0.000889	0.088914
ACSF2	1.84e-6	62676.3333	22	0.005606	0.004	0.009	0.004693	0.000889	0.028117
ACSF3	1.28e-6	61126.4	16	0.005384	0.004	0.009	0.005018	0.000889	0.028117
ACSL1	2.43e-6	63287.25	3	0.061138	0.02	0.176	0.057854	0.008891	0.281171
ACSL3	2.e-6	66542.3333	4	0.038886	0.015	0.099	0.034923	0.002812	0.088914
ACSL4	1.95e-6	47816.537	0	0.302826	0.033	1.	0.272325	0.028117	1.
ACSL5	1.91e-6	66692	6	0.023977	0.011	0.052	0.016972	0.000889	0.088914
ACSL6	2.01e-6	65875.75	8	0.018299	0.009	0.036	0.012406	0.000889	0.028117
ACSM1	1.78e-6	66414.1429	40	0.003125	0.00225	0.00417	0.003947	0.000889	0.008891
ACSM2B	2.07e-6	66518	14	0.010578	0.007	0.018	0.008022	0.000889	0.028117
ACSM5	1.58e-6	65410	12	0.009434	0.006	0.017	0.00725	0.000889	0.028117
ACSS1	1.69e-6	66053.1429	8	0.015544	0.008	0.031	0.010714	0.000889	0.028117
ACSS2	1.97e-6	66588.2667	6	0.02466	0.011	0.054	0.018324	0.000889	0.088914
ACSS3	1.83e-6	62933.5	20	0.006173	0.004	0.01	0.004972	0.000889	0.028117
ACTA1	7.5e-7	65212.8	7	0.008318	0.004	0.017	0.007267	0.000889	0.028117
ACTA2	8.58e-7	66686	1	0.082295	0.013	0.379	0.065158	0.000889	0.88914
ACTB	5.67e-7	65577.1259	0	0.19876	0.015	1.	0.153121	0.002812	1.
ACTBL2	7.1e-7	66708	17	0.003188	0.00188	0.00486	0.004611	0.000889	0.028117
ACTC1	5.7e-7	65220	0	0.198744	0.015	1.	0.152674	0.002812	1.
ACTG1	7.97e-7	66050.6667	2	0.03657	0.009	0.125	0.025775	0.000889	0.281171
ACTG2	7.96e-7	64750.6667	3	0.02237	0.007	0.063	0.015124	0.000889	0.088914
ACTL6A	1.18e-6	66724	0	0.279634	0.028	1.	0.242646	0.008891	1.
ACTL6B	1.63e-6	65541	3	0.043554	0.014	0.125	0.036512	0.002812	0.281171
ACTL7A	7.04e-7	66572.8571	6	0.009454	0.004	0.02	0.007662	0.000889	0.028117
ACTL7B	4.52e-7	65278.3333	3	0.013768	0.005	0.038	0.011009	0.000889	0.088914
ACTL8	6.33e-7	62174.5	3	0.017625	0.006	0.049	0.011859	0.000889	0.088914
ACTL9	5.63e-7	62018	0	0.193379	0.014	1.	0.14863	0.002812	1.
ACTN1	2.77e-6	60129	2	0.10115	0.027	0.345	0.096694	0.008891	0.88914
ACTN2	2.23e-6	66606	4	0.043153	0.016	0.11	0.040083	0.002812	0.281171
ACTN4	2.27e-6	62726.1704	0	0.370762	0.048	1.	0.334966	0.028117	1.
ACTR10	1.2e-6	61436	4	0.02235	0.009	0.056	0.015154	0.000889	0.088914
ACTR1A	1.53e-6	66359.3333	1	0.12732	0.022	0.568	0.108431	0.008891	0.88914
ACTR1B	1.42e-6	58418.3333	3	0.034472	0.011	0.099	0.026013	0.000889	0.088914
ACTR2	1.55e-6	66740	1	0.129141	0.023	0.576	0.115264	0.008891	0.88914
ACTR3	1.26e-6	64407.0213	0	0.283632	0.029	1.	0.249684	0.008891	1.
ACTR3B	1.37e-6	61073.4595	0	0.287735	0.03	1.	0.253305	0.008891	1.
ACTR3C	5.72e-7	54720.6667	18	0.002088	0.00122	0.00307	0.00434	0.000889	0.028117
ACTR5	1.26e-6	65334.5882	11	0.008332	0.005	0.015	0.00678	0.000889	0.028117
ACTR6	1.18e-6	65871.4286	4	0.023473	0.009	0.059	0.016317	0.000889	0.088914
ACTR8	2.23e-6	64104.1538	18	0.008464	0.006	0.014	0.006194	0.000889	0.028117
ACTRT1	4.37e-7	47977.5	1	0.039252	0.006	0.179	0.02541	0.000889	0.281171
ACTRT2	3.96e-7	65402	3	0.012351	0.004	0.034	0.009961	0.000889	0.088914
ACTRT3	4.34e-7	51767.2	1	0.041208	0.006	0.189	0.026506	0.000889	0.281171
ACVR1	1.29e-6	66647	2	0.056292	0.014	0.194	0.047422	0.002812	0.281171
ACVR1B	1.52e-6	60045.4949	0	0.299777	0.032	1.	0.261182	0.008891	1.
ACVR1C	1.44e-6	66569.3333	26	0.003964	0.00263	0.00567	0.004289	0.000889	0.028117
ACVR2A	1.3e-6	66624	1	0.112834	0.019	0.509	0.09525	0.002812	0.88914
ACVR2B	1.42e-6	66360	0	0.304343	0.033	1.	0.264254	0.008891	1.
ACVRL1	1.12e-6	58281	6	0.012783	0.006	0.027	0.008972	0.000889	0.028117
ACY1	9.84e-7	64019.7778	4	0.019339	0.007	0.049	0.013095	0.000889	0.088914
ACY3	6.99e-7	63395.7778	3	0.019559	0.006	0.055	0.013326	0.000889	0.088914
ACYP1	1.82e-7	66740	0	0.127258	0.006	0.897	0.083429	0.000889	1.
ACYP2	2.6e-7	62405.6	6	0.0039	0.00153	0.00751	0.006049	0.000889	0.028117
ADA	1.08e-6	54412.5714	12	0.005563	0.004	0.01	0.005341	0.000889	0.028117
ADAD1	1.36e-6	66508	0	0.298504	0.032	1.	0.264554	0.008891	1.
ADAD2	1.27e-6	58037.5556	7	0.012118	0.006	0.025	0.00888	0.000889	0.028117
ADAL	6.95e-7	61668.1667	4	0.013665	0.005	0.034	0.009869	0.000889	0.088914
ADAM10	2.09e-6	66438	1	0.161296	0.03	0.7	0.143845	0.008891	0.88914
ADAM11	2.86e-6	64891.4545	5	0.041875	0.018	0.097	0.042951	0.008891	0.088914
ADAM12	2.47e-6	66142.8571	7	0.025812	0.013	0.053	0.020157	0.002812	0.088914
ADAM15	2.84e-6	64017.1818	21	0.00912	0.006	0.014	0.006523	0.000889	0.028117
ADAM17	2.09e-6	62452	1	0.15396	0.028	0.673	0.137321	0.008891	0.88914
ADAM19	2.86e-6	60224.5333	17	0.010749	0.007	0.017	0.008282	0.000889	0.028117
ADAM22	3.14e-6	65186.8	26	0.00823	0.006	0.012	0.005699	0.000889	0.028117
ADAM23	2.58e-6	66180.4	4	0.049264	0.019	0.125	0.048676	0.008891	0.281171
ADAM28	2.02e-6	65803.2857	32	0.004386	0.00304	0.00608	0.004185	0.000889	0.028117
ADAM29	1.16e-6	66424.2222	19	0.004447	0.00275	0.00674	0.004686	0.000889	0.028117
ADAM30	1.36e-6	66502.6667	3	0.037332	0.012	0.107	0.03066	0.000889	0.281171
ADAM32	2.39e-6	49729.7143	19	0.006705	0.005	0.011	0.005108	0.000889	0.028117
ADAM33	2.46e-6	47755.3684	19	0.006631	0.005	0.011	0.005101	0.000889	0.028117
ADAM7	2.03e-6	66127	23	0.006197	0.005	0.01	0.004833	0.000889	0.028117
ADAM8	2.32e-6	50693	35	0.003561	0.0025	0.00485	0.003866	0.000889	0.008891
ADAM9	2.42e-6	66670.8571	4	0.046681	0.018	0.119	0.044858	0.002812	0.281171
ADAMDEC1	1.33e-6	66218.2667	11	0.008878	0.005	0.016	0.006841	0.000889	0.028117
ADAMTS1	1.95e-6	66729.5	3	0.05232	0.017	0.15	0.049987	0.002812	0.281171
ADAMTS10	3.04e-6	59484.3333	2	0.108753	0.029	0.371	0.101984	0.028117	0.88914
ADAMTS12	3.48e-6	66298.72	25	0.009627	0.007	0.015	0.00703	0.000889	0.028117
ADAMTS13	3.37e-6	58066.6667	14	0.014865	0.009	0.025	0.011816	0.000889	0.028117
ADAMTS14	3.53e-6	60145.8889	23	0.009665	0.007	0.015	0.006973	0.000889	0.028117
ADAMTS15	2.e-6	60242.4	7	0.019271	0.009	0.04	0.013143	0.000889	0.088914
ADAMTS16	3.35e-6	64637.6923	7	0.033897	0.016	0.07	0.035188	0.002812	0.088914
ADAMTS17	3.71e-6	61357.8889	12	0.020209	0.012	0.036	0.014705	0.002812	0.028117
ADAMTS18	4.46e-6	66260.0667	26	0.011789	0.008	0.018	0.009524	0.000889	0.028117
ADAMTS19	3.64e-6	66613.5	5	0.054159	0.023	0.126	0.053292	0.008891	0.281171
ADAMTS2	2.94e-6	65527	15	0.013633	0.009	0.023	0.010471	0.000889	0.028117
ADAMTS3	3.22e-6	66522.75	13	0.017527	0.011	0.03	0.01304	0.000889	0.028117
ADAMTS4	1.7e-6	65912.5714	12	0.010189	0.006	0.018	0.007664	0.000889	0.028117
ADAMTS5	1.77e-6	60912.4	1	0.133254	0.024	0.592	0.118732	0.008891	0.88914
ADAMTS6	3.24e-6	66268	2	0.126441	0.034	0.428	0.119542	0.028117	0.88914
ADAMTS7	4.1e-6	50536	11	0.020187	0.012	0.036	0.015213	0.002812	0.088914
ADAMTS8	1.7e-6	62140.5333	11	0.010548	0.006	0.019	0.007905	0.000889	0.028117
ADAMTS9	6.22e-6	65933.1111	15	0.02858	0.018	0.047	0.026856	0.008891	0.088914
ADAMTSL1	4.5e-6	61374.5556	14	0.02081	0.013	0.035	0.015555	0.002812	0.028117
ADAMTSL2	2.43e-6	63557.5	2	0.094625	0.025	0.324	0.088116	0.008891	0.281171
ADAMTSL3	4.6e-6	64664	15	0.020841	0.013	0.035	0.015331	0.002812	0.028117
ADAMTSL4	2.98e-6	60894.069	23	0.008295	0.006	0.013	0.00594	0.000889	0.028117
ADAMTSL5	1.46e-6	54523.2	10	0.008922	0.005	0.016	0.00708	0.000889	0.028117
ADAP1	1.41e-6	44879.3333	3	0.026914	0.009	0.077	0.019028	0.000889	0.088914
ADAP2	1.36e-6	65892.2	28	0.003449	0.00232	0.00485	0.004193	0.000889	0.028117
ADAR	2.47e-6	66200.3333	6	0.030463	0.014	0.066	0.026859	0.002812	0.088914
ADARB1	1.19e-6	62463	1	0.100432	0.017	0.458	0.083131	0.002812	0.88914
ADARB2	1.46e-6	57800	2	0.05537	0.014	0.191	0.048474	0.002812	0.281171
ADAT1	1.36e-6	66601.8667	20	0.004913	0.00308	0.00739	0.004714	0.000889	0.028117
ADAT2	6.3e-7	66667.6667	6	0.008573	0.004	0.018	0.007216	0.000889	0.028117
ADC	1.11e-6	66551.7143	3	0.030992	0.01	0.089	0.022069	0.000889	0.088914
ADCK1	1.28e-6	66168	12	0.007815	0.005	0.014	0.00638	0.000889	0.028117
ADCK3	1.43e-6	53254.7273	11	0.007746	0.005	0.014	0.006183	0.000889	0.028117
ADCK4	1.54e-6	61776.9231	5	0.022157	0.009	0.051	0.014728	0.000889	0.088914
ADCK5	1.5e-6	60293	2	0.058875	0.015	0.203	0.05077	0.002812	0.281171
ADCY1	2.46e-6	66593	2	0.099681	0.026	0.341	0.095337	0.008891	0.88914
ADCY10	4.21e-6	66636	33	0.008791	0.007	0.013	0.005969	0.000889	0.028117
ADCY2	2.56e-6	64890	1	0.184461	0.035	0.786	0.166808	0.028117	0.88914
ADCY3	2.71e-6	59512.7273	6	0.030063	0.014	0.065	0.025827	0.002812	0.088914
ADCY5	2.61e-6	62964.4	2	0.099959	0.026	0.342	0.094038	0.008891	0.281171
ADCY6	2.34e-6	56751.6667	3	0.053322	0.017	0.153	0.049678	0.002812	0.281171
